Tnorm, reading tnormList
Tnorm, begin the test list
tnorm distrib
nbnorm: 100
fbcg1_sx82 -0.805944 0.784068
fblv0_sx68 -0.977017 1.16663
fceg0_sx78 -0.868887 0.755511
fcjs0_sx77 -0.918581 0.513833
fclt0_sx88 -0.643898 0.73477
fcrz0_sx73 -0.959985 1.01243
fjen0_sx57 -0.822871 0.977328
fjhk0_sx392 -1.01598 0.811448
fjrb0_sx42 -0.768892 0.671569
fjrp1_sx82 -0.773094 0.734862
fjsk0_sx62 -1.03484 0.884907
fkde0_sx61 -0.87416 0.850107
fklh0_sx87 -0.759929 0.878259
fksr0_sx397 -1.06764 1.23518
fleh0_sx61 -0.970611 0.87134
flet0_sx57 -0.869247 1.01331
fmah1_sx69 -0.952141 1.29381
fmbg0_sx80 -0.915522 0.981908
fmkc0_sx82 -0.801948 0.518205
fnkl0_sx82 -0.860093 0.729516
fpab1_sx391 -0.750828 0.640935
fpac0_sx391 -0.762418 0.611856
fpls0_sx60 -0.991625 1.15874
freh0_sx55 -0.850902 0.9635
fspm0_sx71 -0.830749 0.595284
fvkb0_sx79 -0.845703 1.05441
madd0_sx88 -0.737583 0.765321
maeo0_sx66 -0.838945 0.562638
mafm0_sx39 -0.881688 0.915424
mbar0_sx59 -0.926697 0.786995
mbbr0_sx65 -0.840511 0.362196
mbcg0_sx57 -0.701096 0.599677
mbml0_sx89 -0.751325 0.708361
mbom0_sx384 -0.857244 0.61909
mbsb0_sx93 -0.756987 0.437221
mbth0_sx392 -0.846549 0.796586
mclk0_sx40 -0.751423 0.524508
mcre0_sx41 -0.773283 0.574214
mcth0_sx39 -0.867518 0.812387
mcxm0_sx91 -0.847268 0.883668
mdcm0_sx40 -0.971819 0.774673
mded0_sx90 -0.892272 0.61159
mdks0_sx76 -0.915841 0.723484
mdlc1_sx85 -0.842451 0.692921
mdlm0_sx64 -0.791828 0.686746
mdlr0_sx63 -0.855214 0.869127
mdlr1_sx39 -0.807432 0.720921
mdpb0_sx56 -0.82669 0.567709
mejs0_sx70 -0.805723 0.395251
mfxs0_sx54 -0.796676 0.410947
mfxv0_sx375 -0.752332 0.798937
mgak0_sx46 -0.767462 0.495288
mgar0_sx42 -0.971015 0.721674
mgaw0_sx85 -0.766321 0.70761
mgsl0_sx84 -0.707587 0.462309
mhbs0_sx45 -0.896804 0.693077
mhxl0_sx62 -0.881857 0.636293
mjai0_sx74 -0.876766 0.467507
mjdg0_sx52 -0.656077 0.430324
mjfr0_sx75 -0.832937 0.483978
mjjm0_sx377 -0.90036 0.750948
mjra0_sx66 -0.741265 0.569405
mkag0_sx79 -0.88 0.624504
mkdb0_sx62 -0.885369 0.491456
mkdd0_sx397 -0.901742 0.811772
mklr0_sx69 -0.79927 0.80178
mkrg0_sx51 -0.807838 0.653415
mmdg0_sx70 -0.824179 0.525388
mmea0_sx398 -0.781938 0.406138
mmlm0_sx87 -0.866078 0.563586
mmpm0_sx71 -0.825732 0.542901
mmws0_sx78 -0.713766 0.747291
mmws1_sx81 -0.869091 0.668685
mntw0_sx78 -0.826482 0.35525
mpar0_sx46 -0.701485 0.755322
mpfu0_sx88 -0.734873 0.376187
mrdm0_sx65 -0.850967 0.608663
mrem0_sx61 -0.774943 0.384953
mrlj1_sx51 -0.847066 0.426821
mrlk0_sx393 -0.952035 0.593837
mrmg0_sx90 -0.903422 0.432312
mrmh0_sx391 -0.659278 0.361513
mrpc1_sx42 -0.933324 0.697344
mrre0_sx74 -0.843176 0.554
msah1_sx59 -0.694078 0.530787
msdb0_sx377 -0.905737 0.816119
mses0_sx59 -0.995639 0.748266
mtab0_sx42 -0.867257 0.903201
mtcs0_sx82 -0.674099 0.715957
mter0_sx77 -0.864715 0.733861
mtkd0_sx377 -0.851591 0.835873
mtlc0_sx397 -0.801861 0.621086
mtml0_sx75 -0.795648 0.487623
mtmn0_sx74 -0.874409 0.505216
mtpr0_sx70 -0.610849 0.418805
mtwh1_sx72 -0.783951 0.503256
mtxs0_sx70 -0.725827 0.754894
mvrw0_sx45 -0.808849 0.703751
mwre0_sx67 -0.943711 0.564746
mwrp0_sx93 -0.933527 0.452512
