
Compute Znorm
Computing once the Znorm distributions
Take Care, really faster if the score files are sorted!
znorm distrib
nbnorm: 100
spk1 -1.06653 0.698996
spk10 -0.92645 0.813199
spk100 -0.720551 0.701412
spk11 -0.697462 0.843898
spk12 -0.623653 0.977995
spk13 -0.940467 1.04109
spk14 -0.970061 0.709632
spk15 -1.16169 1.01325
spk16 -0.900034 1.14485
spk17 -0.817856 0.873637
spk18 -0.580861 0.630165
spk19 -0.805863 0.998201
spk2 -1.05745 1.21146
spk20 -0.979045 0.681831
spk21 -0.624841 0.632969
spk22 -0.879707 0.721091
spk23 -0.791334 0.782602
spk24 -0.582626 0.341225
spk25 -0.940844 0.624299
spk26 -0.731542 0.561024
spk27 -0.906065 0.810085
spk28 -0.90624 0.433821
spk29 -0.846435 0.611104
spk3 -0.962583 0.552836
spk30 -0.847248 0.724927
spk31 -0.839132 0.711817
spk32 -0.875072 0.546584
spk33 -1.00637 0.76663
spk34 -0.921612 0.654708
spk35 -0.718106 0.534239
spk36 -0.971326 0.823744
spk37 -0.73498 0.579372
spk38 -0.613426 0.622149
spk39 -0.557267 0.339281
spk4 -0.774322 0.757936
spk40 -1.14605 0.656367
spk41 -1.00262 0.585874
spk42 -0.771428 0.412682
spk43 -1.05342 0.644883
spk44 -0.831497 0.553724
spk45 -0.675475 0.454431
spk46 -1.11066 0.77565
spk47 -0.696391 0.436024
spk48 -0.666941 0.55183
spk49 -0.784535 0.510289
spk5 -0.819633 0.926906
spk50 -0.960527 0.71872
spk51 -0.694731 0.658103
spk52 -0.912177 0.730211
spk53 -0.747426 0.629148
spk54 -0.70099 0.672754
spk55 -0.97904 0.903533
spk56 -0.567837 0.628918
spk57 -0.534601 0.344061
spk58 -0.746523 0.590258
spk59 -0.737481 0.509576
spk6 -0.851527 0.590225
spk60 -0.74626 0.563551
spk61 -0.689994 0.413205
spk62 -0.672551 0.370604
spk63 -0.604413 0.416257
spk64 -0.742348 0.60589
spk65 -0.709538 0.599462
spk66 -0.55217 0.624633
spk67 -0.777645 0.729964
spk68 -0.836189 0.781645
spk69 -0.725719 0.712629
spk7 -0.751037 0.896195
spk70 -0.904712 0.692136
spk71 -0.789864 0.500538
spk72 -0.762379 0.617109
spk73 -0.698705 0.427404
spk74 -0.81993 0.564435
spk75 -0.739603 0.56223
spk76 -0.771118 0.673164
spk77 -0.973136 0.637567
spk78 -0.538007 0.347046
spk79 -0.955427 0.813314
spk8 -0.740006 0.804653
spk80 -1.0188 0.589473
spk81 -0.745859 0.638485
spk82 -0.602022 0.782323
spk83 -0.960974 1.05822
spk84 -0.954034 0.975276
spk85 -1.30071 0.860435
spk86 -0.8527 0.738599
spk87 -0.593576 0.58359
spk88 -0.524014 0.318926
spk89 -1.10411 0.784234
spk9 -0.98263 0.917993
spk90 -0.673536 0.648185
spk91 -0.852418 0.731758
spk92 -0.874525 0.754784
spk93 -0.790648 0.394958
spk94 -0.67825 0.496321
spk95 -0.735434 0.460472
spk96 -0.974436 0.861584
spk97 -0.632979 0.64104
spk98 -1.20197 0.645468
spk99 -1.00537 0.670631
