
Compute ZTnorm (and tnorm)
Computing once the Tnorm distribution for impostor segments
Take Care, really faster if the score files are sorted!
Computing once all the tnorm distributions for the test segments 
Take Care, really faster if the score files are sorted!
Computing once all the znorm (tnormed) distributions 
Take Care, really faster if the score files are sorted!
tnorm distrib
nbnorm: 100
fbcg1_sx82 -0.805944 0.784068
fblv0_sx68 -0.977017 1.16663
fceg0_sx78 -0.868887 0.755511
fcjs0_sx77 -0.918581 0.513833
fclt0_sx88 -0.643898 0.73477
fcrz0_sx73 -0.959985 1.01243
fjen0_sx57 -0.822871 0.977328
fjhk0_sx392 -1.01598 0.811448
fjrb0_sx42 -0.768892 0.671569
fjrp1_sx82 -0.773094 0.734862
fjsk0_sx62 -1.03484 0.884907
fkde0_sx61 -0.87416 0.850107
fklh0_sx87 -0.759929 0.878259
fksr0_sx397 -1.06764 1.23518
fleh0_sx61 -0.970611 0.87134
flet0_sx57 -0.869247 1.01331
fmah1_sx69 -0.952141 1.29381
fmbg0_sx80 -0.915522 0.981908
fmkc0_sx82 -0.801948 0.518205
fnkl0_sx82 -0.860093 0.729516
fpab1_sx391 -0.750828 0.640935
fpac0_sx391 -0.762418 0.611856
fpls0_sx60 -0.991625 1.15874
freh0_sx55 -0.850902 0.9635
fspm0_sx71 -0.830749 0.595284
fvkb0_sx79 -0.845703 1.05441
madd0_sx88 -0.737583 0.765321
maeo0_sx66 -0.838945 0.562638
mafm0_sx39 -0.881688 0.915424
mbar0_sx59 -0.926697 0.786995
mbbr0_sx65 -0.840511 0.362196
mbcg0_sx57 -0.701096 0.599677
mbml0_sx89 -0.751325 0.708361
mbom0_sx384 -0.857244 0.61909
mbsb0_sx93 -0.756987 0.437221
mbth0_sx392 -0.846549 0.796586
mclk0_sx40 -0.751423 0.524508
mcre0_sx41 -0.773283 0.574214
mcth0_sx39 -0.867518 0.812387
mcxm0_sx91 -0.847268 0.883668
mdcm0_sx40 -0.971819 0.774673
mded0_sx90 -0.892272 0.61159
mdks0_sx76 -0.915841 0.723484
mdlc1_sx85 -0.842451 0.692921
mdlm0_sx64 -0.791828 0.686746
mdlr0_sx63 -0.855214 0.869127
mdlr1_sx39 -0.807432 0.720921
mdpb0_sx56 -0.82669 0.567709
mejs0_sx70 -0.805723 0.395251
mfxs0_sx54 -0.796676 0.410947
mfxv0_sx375 -0.752332 0.798937
mgak0_sx46 -0.767462 0.495288
mgar0_sx42 -0.971015 0.721674
mgaw0_sx85 -0.766321 0.70761
mgsl0_sx84 -0.707587 0.462309
mhbs0_sx45 -0.896804 0.693077
mhxl0_sx62 -0.881857 0.636293
mjai0_sx74 -0.876766 0.467507
mjdg0_sx52 -0.656077 0.430324
mjfr0_sx75 -0.832937 0.483978
mjjm0_sx377 -0.90036 0.750948
mjra0_sx66 -0.741265 0.569405
mkag0_sx79 -0.88 0.624504
mkdb0_sx62 -0.885369 0.491456
mkdd0_sx397 -0.901742 0.811772
mklr0_sx69 -0.79927 0.80178
mkrg0_sx51 -0.807838 0.653415
mmdg0_sx70 -0.824179 0.525388
mmea0_sx398 -0.781938 0.406138
mmlm0_sx87 -0.866078 0.563586
mmpm0_sx71 -0.825732 0.542901
mmws0_sx78 -0.713766 0.747291
mmws1_sx81 -0.869091 0.668685
mntw0_sx78 -0.826482 0.35525
mpar0_sx46 -0.701485 0.755322
mpfu0_sx88 -0.734873 0.376187
mrdm0_sx65 -0.850967 0.608663
mrem0_sx61 -0.774943 0.384953
mrlj1_sx51 -0.847066 0.426821
mrlk0_sx393 -0.952035 0.593837
mrmg0_sx90 -0.903422 0.432312
mrmh0_sx391 -0.659278 0.361513
mrpc1_sx42 -0.933324 0.697344
mrre0_sx74 -0.843176 0.554
msah1_sx59 -0.694078 0.530787
msdb0_sx377 -0.905737 0.816119
mses0_sx59 -0.995639 0.748266
mtab0_sx42 -0.867257 0.903201
mtcs0_sx82 -0.674099 0.715957
mter0_sx77 -0.864715 0.733861
mtkd0_sx377 -0.851591 0.835873
mtlc0_sx397 -0.801861 0.621086
mtml0_sx75 -0.795648 0.487623
mtmn0_sx74 -0.874409 0.505216
mtpr0_sx70 -0.610849 0.418805
mtwh1_sx72 -0.783951 0.503256
mtxs0_sx70 -0.725827 0.754894
mvrw0_sx45 -0.808849 0.703751
mwre0_sx67 -0.943711 0.564746
mwrp0_sx93 -0.933527 0.452512
znorm distrib
nbnorm: 100
spk1 -0.361963 0.975008
spk10 -0.290732 1.05596
spk100 0.202896 0.823684
spk11 0.0448539 1.074
spk12 0.123432 1.17336
spk13 -0.352976 1.316
spk14 -0.4026 1.07495
spk15 -0.688006 1.33461
spk16 -0.318376 1.41602
spk17 -0.117462 1.10849
spk18 0.285729 0.823917
spk19 -0.124953 1.22919
spk2 -0.549329 1.48217
spk20 -0.234476 0.99576
spk21 0.331496 0.874033
spk22 -0.0734929 0.899452
spk23 0.107096 0.944315
spk24 0.323554 0.572581
spk25 -0.217439 0.8785
spk26 0.161232 0.765428
spk27 -0.11164 1.0791
spk28 -0.158618 0.660914
spk29 -0.00322702 0.824535
spk3 -0.240901 0.820469
spk30 -0.0261616 0.942067
spk31 -0.0423674 0.909517
spk32 -0.0544301 0.702957
spk33 -0.26314 0.96375
spk34 -0.11449 0.878027
spk35 0.129373 0.795402
spk36 -0.195159 1.05513
spk37 0.160367 0.811934
spk38 0.357212 0.781742
spk39 0.385432 0.496019
spk4 -0.0449763 0.978989
spk40 -0.500208 0.925475
spk41 -0.237658 0.874855
spk42 0.0735216 0.659531
spk43 -0.339497 0.900933
spk44 0.0187648 0.704894
spk45 0.228339 0.638513
spk46 -0.430902 1.08058
spk47 0.166777 0.741721
spk48 0.233906 0.755561
spk49 0.0557206 0.748637
spk5 -0.170555 1.18354
spk50 -0.168679 0.941893
spk51 0.24346 0.876279
spk52 -0.0919034 0.928355
spk53 0.0964283 0.932736
spk54 0.195811 0.854227
spk55 -0.188059 1.09133
spk56 0.436508 0.84699
spk57 0.413639 0.492399
spk58 0.127257 0.843527
spk59 0.114152 0.743922
spk6 -0.156551 0.951528
spk60 0.155515 0.706141
spk61 0.169747 0.617216
spk62 0.216935 0.623519
spk63 0.324261 0.649838
spk64 0.121465 0.895401
spk65 0.207428 0.729697
spk66 0.402314 0.813395
spk67 0.122287 0.893411
spk68 0.00244381 0.968683
spk69 0.175664 0.871514
spk7 -0.0487565 1.11471
spk70 -0.0870554 0.91668
spk71 0.0256868 0.742792
spk72 0.0940935 0.83732
spk73 0.156809 0.672616
spk74 0.0114073 0.793305
spk75 0.170464 0.771357
spk76 0.0742949 0.918092
spk77 -0.20495 0.85168
spk78 0.415006 0.552352
spk79 -0.297448 1.05599
spk8 0.00476742 1.01242
spk80 -0.372371 0.932156
spk81 0.00822783 0.867879
spk82 0.22113 0.997832
spk83 -0.401433 1.33584
spk84 -0.363792 1.2475
spk85 -0.843635 1.18454
spk86 -0.17391 0.910929
spk87 0.356156 0.772134
spk88 0.425909 0.564186
spk89 -0.361864 0.956235
spk9 -0.432108 1.22028
spk90 0.283987 0.861926
spk91 -0.0321482 1.04024
spk92 -0.0398401 0.943245
spk93 0.0145038 0.642532
spk94 0.221758 0.6525
spk95 0.154052 0.625387
spk96 -0.197324 1.0531
spk97 0.313608 0.820695
spk98 -0.603059 1.1145
spk99 -0.267278 0.977825
